c_first,c_first_ack,c_last,c_port,c_rtt_avg,c_rtt_max,c_rtt_min,c_rtt_std,durat,s_ack_cnt,s_ack_cnt_p,s_first,s_first_ack,s_last,s_pkts_all,s_rtt_avg,s_rtt_max,s_rtt_min,s_rtt_std,Label
7.574,0.271,7.574,35240.0,0.430652,0.611,0.261,0.175244,33.141,4.0,1.0,31.122,8.185,31.122,4.0,0.018333,0.025,0.01,0.007638,Normal
5.335,0.204,5.335,35220.0,0.30699,0.628,0.099,0.282023,41.898,4.0,1.0,39.58,5.434,39.58,4.0,0.010333,0.015,0.006,0.004509,Normal
1.477,0.165,1.477,35308.0,0.128996,0.187,0.081,0.053703,26.449,4.0,1.0,24.399,1.558,24.399,4.0,0.019999,0.046,0.006,0.022539,Normal
1.085,0.148,1.085,35228.0,0.148662,0.218,0.1,0.061655,45.094,4.0,1.0,44.275,1.185,44.275,4.0,0.024999,0.031,0.02,0.005568,Normal
0.939,0.14,0.939,35298.0,1.556615,3.602,0.118,1.819505,42.514,4.0,1.0,38.042,1.889,38.042,4.0,0.013333,0.022,0.006,0.008083,Normal
1.722,0.135,1.722,35316.0,1.468618,4.174,0.107,2.342905,36.559,4.0,1.0,31.33,1.829,31.33,4.0,0.011666,0.02,0.005,0.007638,Normal
1.911,0.53,1.911,35260.0,1.288624,3.049,0.3,1.52835,45.938,4.0,1.0,41.967,2.211,41.967,4.0,0.010333,0.013,0.009,0.002309,Normal
2.01,0.2,2.01,35218.0,1.264291,3.07,0.19,1.573129,59.643,4.0,1.0,56.258,2.543,56.258,4.0,0.008666,0.013,0.003,0.005132,Normal
6.072,0.205,6.072,35250.0,0.433652,1.006,0.099,0.498022,53.895,4.0,1.0,52.498,6.171,52.498,4.0,0.011666,0.018,0.008,0.005508,Normal
4.223,0.425,4.223,35222.0,2.973901,8.437,0.074,4.734096,62.634,4.0,1.0,53.621,4.297,53.621,4.0,0.014666,0.018,0.012,0.003055,Normal
